text,emotion_label,text_clean,text_casefoldingText,text_slangwords,text_tokenizingText,text_stopword,text_akhir,emotion_id
Aku jadi kepikiran pas kontrak kerja ga diperpanjang aku jadi overthinking terus,fear,Aku jadi kepikiran pas kontrak kerja ga diperpanjang aku jadi overthinking terus,aku jadi kepikiran pas kontrak kerja ga diperpanjang aku jadi overthinking terus,aku jadi terpikirkan pas kontrak kerja ga diperpanjang aku jadi overthinking terus,"['aku', 'jadi', 'terpikirkan', 'pas', 'kontrak', 'kerja', 'ga', 'diperpanjang', 'aku', 'jadi', 'overthinking', 'terus']","['terpikirkan', 'pas', 'kontrak', 'kerja', 'diperpanjang', 'overthinking']",terpikirkan pas kontrak kerja diperpanjang overthinking,1
Deg-degan banget deadline makin dekat seharian jadi kepikiran,fear,Degdegan banget deadline makin dekat seharian jadi kepikiran,deg-degan banget deadline makin dekat seharian jadi kepikiran,deg-degan banget deadline makin dekat seharian jadi terpikirkan,"['deg-degan', 'banget', 'deadline', 'makin', 'dekat', 'seharian', 'jadi', 'terpikirkan']","['deg-degan', 'banget', 'deadline', 'seharian', 'terpikirkan']",deg-degan banget deadline seharian terpikirkan,1
Aku kecewa karena pas kerjaan revisi terus susah fokus sejak tadi,sad,Aku kecewa karena pas kerjaan revisi terus susah fokus sejak tadi,aku kecewa karena pas kerjaan revisi terus susah fokus sejak tadi,aku kecewa karena pas kerjaan revisi terus susah fokus sejak tadi,"['aku', 'kecewa', 'karena', 'pas', 'kerjaan', 'revisi', 'terus', 'susah', 'fokus', 'sejak', 'tadi']","['kecewa', 'pas', 'kerjaan', 'revisi', 'susah', 'fokus']",kecewa pas kerjaan revisi susah fokus,4
Hari ini bikin emosi karena internet mati pas meeting dan bikin stres banget,angry,Hari ini bikin emosi karena internet mati pas meeting dan bikin stres banget,hari ini bikin emosi karena internet mati pas meeting dan bikin stres banget,hari ini bikin emosi karena internet mati pas meeting dan bikin stres banget,"['hari', 'ini', 'bikin', 'emosi', 'karena', 'internet', 'mati', 'pas', 'meeting', 'dan', 'bikin', 'stres', 'banget']","['bikin', 'emosi', 'internet', 'mati', 'pas', 'meeting', 'bikin', 'stres', 'banget']",bikin emosi internet mati pas meeting bikin stres banget,0
Ga nyangka karena dosen acc proposal,happy,Ga nyangka karena dosen acc proposal,ga nyangka karena dosen acc proposal,ga nyangka karena dosen accord proposal,"['ga', 'nyangka', 'karena', 'dosen', 'accord', 'proposal']","['nyangka', 'dosen', 'accord', 'proposal']",nyangka dosen accord proposal,2
"Hari ini, cek email kantor kayak hari biasa aja",neutral,Hari ini cek email kantor kayak hari biasa aja,"hari ini, cek email kantor kayak hari biasa aja","hari ini, cek email kantor kayak hari biasa saja","['hari', 'ini', ',', 'cek', 'email', 'kantor', 'kayak', 'hari', 'biasa', 'saja']","[',', 'cek', 'email', 'kantor', 'kayak']",", cek email kantor kayak",3
Aku jadi kepikiran karena takut ga lolos seleksi seharian jadi kepikiran,fear,Aku jadi kepikiran karena takut ga lolos seleksi seharian jadi kepikiran,aku jadi kepikiran karena takut ga lolos seleksi seharian jadi kepikiran,aku jadi terpikirkan karena takut ga lolos seleksi seharian jadi terpikirkan,"['aku', 'jadi', 'terpikirkan', 'karena', 'takut', 'ga', 'lolos', 'seleksi', 'seharian', 'jadi', 'terpikirkan']","['terpikirkan', 'takut', 'lolos', 'seleksi', 'seharian', 'terpikirkan']",terpikirkan takut lolos seleksi seharian terpikirkan,1
thanks udh speak up bang. gua ngeri akun lu tiba2 kena petrus :(,fear,thanks udh speak up bang gua ngeri akun lu tiba kena petrus,thanks udh speak up bang. gua ngeri akun lu tiba2 kena petrus :(,terima kasih udh speak up bang. saya ngeri akun kamu tiba2 kena petrus :(,"['terima', 'kasih', 'udh', 'speak', 'up', 'bang', '.', 'saya', 'ngeri', 'akun', 'kamu', 'tiba2', 'kena', 'petrus', ':', '(']","['terima', 'kasih', 'udh', 'speak', 'bang', '.', 'ngeri', 'akun', 'tiba2', 'kena', 'petrus', ':', '(']",terima kasih udh speak bang . ngeri akun tiba2 kena petrus : (,1
Weekend ini dengerin musik,neutral,Weekend ini dengerin musik,weekend ini dengerin musik,weekend ini dengerin musik,"['weekend', 'ini', 'dengerin', 'musik']","['weekend', 'dengerin', 'musik']",weekend dengerin musik,3
"Deg-degan banget, belum siap menghadapi interview rasanya ga tenang",fear,Degdegan banget belum siap menghadapi interview rasanya ga tenang,"deg-degan banget, belum siap menghadapi interview rasanya ga tenang","deg-degan banget, belum siap menghadapi interview rasanya ga tenang","['deg-degan', 'banget', ',', 'belum', 'siap', 'menghadapi', 'interview', 'rasanya', 'ga', 'tenang']","['deg-degan', 'banget', ',', 'menghadapi', 'interview', 'tenang']","deg-degan banget , menghadapi interview tenang",1
Perasaan ga enak AI menggantikan pekerjaan seharian jadi kepikiran,fear,Perasaan ga enak AI menggantikan pekerjaan seharian jadi kepikiran,perasaan ga enak ai menggantikan pekerjaan seharian jadi kepikiran,perasaan ga enak ai menggantikan pekerjaan seharian jadi terpikirkan,"['perasaan', 'ga', 'enak', 'ai', 'menggantikan', 'pekerjaan', 'seharian', 'jadi', 'terpikirkan']","['perasaan', 'enak', 'ai', 'menggantikan', 'pekerjaan', 'seharian', 'terpikirkan']",perasaan enak ai menggantikan pekerjaan seharian terpikirkan,1
mo marah ngeliat orang pake filter mata banyak2 di muka yaallah merinding gue,fear,mo marah ngeliat orang pake filter mata banyak di muka yaallah merinding gue,mo marah ngeliat orang pake filter mata banyak2 di muka yaallah merinding gue,mau marah melihat orang pakai filter mata banyak2 di muka yaallah merinding saya,"['mau', 'marah', 'melihat', 'orang', 'pakai', 'filter', 'mata', 'banyak2', 'di', 'muka', 'yaallah', 'merinding', 'saya']","['marah', 'orang', 'pakai', 'filter', 'mata', 'banyak2', 'muka', 'yaallah', 'merinding']",marah orang pakai filter mata banyak2 muka yaallah merinding,1
ini bener..jam 9 malem..abis praktek.. bini wa di rs ada lem kertas ga? yang biasa gitu. besok ** ada tugas suruh bawa lem buat nempel2.a,neutral,ini benerjam  malemabis praktek bini wa di rs ada lem kertas ga yang biasa gitu besok  ada tugas suruh bawa lem buat nempela,ini bener..jam 9 malem..abis praktek.. bini wa di rs ada lem kertas ga? yang biasa gitu. besok ** ada tugas suruh bawa lem buat nempel2.a,ini bener..jam 9 malem..abis praktek.. bini wa di rs ada lem kertas ga? yang biasa gitu. besok ** ada tugas suruh bawa lem buat nempel2.a,"['ini', 'bener', '..', 'jam', '9', 'malem', '..', 'abis', 'praktek', '..', 'bini', 'wa', 'di', 'rs', 'ada', 'lem', 'kertas', 'ga', '?', 'yang', 'biasa', 'gitu', '.', 'besok', '*', '*', 'ada', 'tugas', 'suruh', 'bawa', 'lem', 'buat', 'nempel2.a\x9d']","['bener', '..', 'jam', '9', 'malem', '..', 'abis', 'praktek', '..', 'bini', 'wa', 'rs', 'lem', 'kertas', '?', 'gitu', '.', 'besok', '*', '*', 'tugas', 'suruh', 'bawa', 'lem', 'nempel2.a\x9d']",bener .. jam 9 malem .. abis praktek .. bini wa rs lem kertas ? gitu . besok * * tugas suruh bawa lem nempel2.a,3
Untung aja teman traktir makan,happy,Untung aja teman traktir makan,untung aja teman traktir makan,untung saja teman traktir makan,"['untung', 'saja', 'teman', 'traktir', 'makan']","['untung', 'teman', 'traktir', 'makan']",untung teman traktir makan,2
Aku beneran kesel karena akun tiba-tiba logout dan bikin stres banget,angry,Aku beneran kesel karena akun tibatiba logout dan bikin stres banget,aku beneran kesel karena akun tiba-tiba logout dan bikin stres banget,aku beneran kesel karena akun tiba-tiba logout dan bikin stres banget,"['aku', 'beneran', 'kesel', 'karena', 'akun', 'tiba-tiba', 'logout', 'dan', 'bikin', 'stres', 'banget']","['beneran', 'kesel', 'akun', 'logout', 'bikin', 'stres', 'banget']",beneran kesel akun logout bikin stres banget,0
"takut bgt karna kepala pusing, tenggorokan mulai serak dan badan anget :"" untung kemajuan teknologi di tahun 2022 ini menyelamatkan anak kost sepertiku :') terimakasih gomart",fear,takut bgt karna kepala pusing tenggorokan mulai serak dan badan anget  untung kemajuan teknologi di tahun  ini menyelamatkan anak kost sepertiku  terimakasih gomart,"takut bgt karna kepala pusing, tenggorokan mulai serak dan badan anget :"" untung kemajuan teknologi di tahun 2022 ini menyelamatkan anak kost sepertiku :') terimakasih gomart","takut banget karena kepala pusing, tenggorokan mulai serak dan badan anget :"" untung kemajuan teknologi di tahun 2022 ini menyelamatkan anak kost sepertiku :') terimakasih gomart","['takut', 'banget', 'karena', 'kepala', 'pusing', ',', 'tenggorokan', 'mulai', 'serak', 'dan', 'badan', 'anget', ':', ""''"", 'untung', 'kemajuan', 'teknologi', 'di', 'tahun', '2022', 'ini', 'menyelamatkan', 'anak', 'kost', 'sepertiku', ':', ""'"", ')', 'terimakasih', 'gomart']","['takut', 'banget', 'kepala', 'pusing', ',', 'tenggorokan', 'serak', 'badan', 'anget', ':', ""''"", 'untung', 'kemajuan', 'teknologi', '2022', 'menyelamatkan', 'anak', 'kost', 'sepertiku', ':', ""'"", ')', 'terimakasih', 'gomart']","takut banget kepala pusing , tenggorokan serak badan anget : '' untung kemajuan teknologi 2022 menyelamatkan anak kost sepertiku : ' ) terimakasih gomart",1
Perasaan ga enak data project hilang rasanya ga tenang,fear,Perasaan ga enak data project hilang rasanya ga tenang,perasaan ga enak data project hilang rasanya ga tenang,perasaan ga enak data project hilang rasanya ga tenang,"['perasaan', 'ga', 'enak', 'data', 'project', 'hilang', 'rasanya', 'ga', 'tenang']","['perasaan', 'enak', 'data', 'project', 'hilang', 'tenang']",perasaan enak data project hilang tenang,1
Mood langsung rusak pas driver batal sepihak jadi pengen marah-marah,angry,Mood langsung rusak pas driver batal sepihak jadi pengen marahmarah,mood langsung rusak pas driver batal sepihak jadi pengen marah-marah,mood langsung rusak pas driver batal sepihak jadi pengen marah-marah,"['mood', 'langsung', 'rusak', 'pas', 'driver', 'batal', 'sepihak', 'jadi', 'pengen', 'marah-marah']","['mood', 'langsung', 'rusak', 'pas', 'driver', 'batal', 'pengen', 'marah-marah']",mood langsung rusak pas driver batal pengen marah-marah,0
"begitu bnyak kekhawatiran ketika anak lhir tdk ckup bulan dan sdah mengalami beberapa riwayat medis alhamdulillah sampai saat ini semua berjalan normal, tapi kadang sbgai org tua bsa melemah ketika ada org yg melemahkan dengan bertanya ""kira2 bisa gak nanti ya"" dlm hal apapun -_-",sad,begitu bnyak kekhawatiran ketika anak lhir tdk ckup bulan dan sdah mengalami beberapa riwayat medis alhamdulillah sampai saat ini semua berjalan normal tapi kadang sbgai org tua bsa melemah ketika ada org yg melemahkan dengan bertanya kira bisa gak nanti ya dlm hal apapun,"begitu bnyak kekhawatiran ketika anak lhir tdk ckup bulan dan sdah mengalami beberapa riwayat medis alhamdulillah sampai saat ini semua berjalan normal, tapi kadang sbgai org tua bsa melemah ketika ada org yg melemahkan dengan bertanya ""kira2 bisa gak nanti ya"" dlm hal apapun -_-","begitu bnyak kekhawatiran ketika anak lhir tidak ckup bulan dan sdah mengalami beberapa riwayat medis alhamdulillah sampai saat ini semua berjalan normal, tapi kadang sbgai org tua bisa melemah ketika ada org yang melemahkan dengan bertanya ""kira2 bisa gak nanti ya"" dlm hal apapun -_-","['begitu', 'bnyak', 'kekhawatiran', 'ketika', 'anak', 'lhir', 'tidak', 'ckup', 'bulan', 'dan', 'sdah', 'mengalami', 'beberapa', 'riwayat', 'medis', 'alhamdulillah', 'sampai', 'saat', 'ini', 'semua', 'berjalan', 'normal', ',', 'tapi', 'kadang', 'sbgai', 'org', 'tua', 'bisa', 'melemah', 'ketika', 'ada', 'org', 'yang', 'melemahkan', 'dengan', 'bertanya', '``', 'kira2', 'bisa', 'gak', 'nanti', 'ya', ""''"", 'dlm', 'hal', 'apapun', '-_-']","['bnyak', 'kekhawatiran', 'anak', 'lhir', 'ckup', 'sdah', 'mengalami', 'riwayat', 'medis', 'alhamdulillah', 'berjalan', 'normal', ',', 'kadang', 'sbgai', 'org', 'tua', 'melemah', 'org', 'melemahkan', '``', 'kira2', ""''"", 'dlm', 'apapun', '-_-']","bnyak kekhawatiran anak lhir ckup sdah mengalami riwayat medis alhamdulillah berjalan normal , kadang sbgai org tua melemah org melemahkan `` kira2 '' dlm apapun -_-",4
bersyukur itu adalah tidak mudah kecewa dengan apa pun yang terjadi dan tidak mengeluh dengan semua yang harus dihadapi.,neutral,bersyukur itu adalah tidak mudah kecewa dengan apa pun yang terjadi dan tidak mengeluh dengan semua yang harus dihadapi,bersyukur itu adalah tidak mudah kecewa dengan apa pun yang terjadi dan tidak mengeluh dengan semua yang harus dihadapi.,bersyukur itu adalah tidak mudah kecewa dengan apa pun yang terjadi dan tidak mengeluh dengan semua yang harus dihadapi.,"['bersyukur', 'itu', 'adalah', 'tidak', 'mudah', 'kecewa', 'dengan', 'apa', 'pun', 'yang', 'terjadi', 'dan', 'tidak', 'mengeluh', 'dengan', 'semua', 'yang', 'harus', 'dihadapi', '.']","['bersyukur', 'mudah', 'kecewa', 'mengeluh', 'dihadapi', '.']",bersyukur mudah kecewa mengeluh dihadapi .,3
Entah kenapa karena IPK turun,sad,Entah kenapa karena IPK turun,entah kenapa karena ipk turun,entah kenapa karena ipk turun,"['entah', 'kenapa', 'karena', 'ipk', 'turun']","['ipk', 'turun']",ipk turun,4
Aku kecewa karena pas merasa ga dihargai,sad,Aku kecewa karena pas merasa ga dihargai,aku kecewa karena pas merasa ga dihargai,aku kecewa karena pas merasa ga dihargai,"['aku', 'kecewa', 'karena', 'pas', 'merasa', 'ga', 'dihargai']","['kecewa', 'pas', 'dihargai']",kecewa pas dihargai,4
Kesel banget pas laptop ngefreeze pas presentasi,angry,Kesel banget pas laptop ngefreeze pas presentasi,kesel banget pas laptop ngefreeze pas presentasi,kesel banget pas laptop ngefreeze pas presentasi,"['kesel', 'banget', 'pas', 'laptop', 'ngefreeze', 'pas', 'presentasi']","['kesel', 'banget', 'pas', 'laptop', 'ngefreeze', 'pas', 'presentasi']",kesel banget pas laptop ngefreeze pas presentasi,0
Rasanya ditinggal pas lagi butuh rasanya pengen sendiri dulu,sad,Rasanya ditinggal pas lagi butuh rasanya pengen sendiri dulu,rasanya ditinggal pas lagi butuh rasanya pengen sendiri dulu,rasanya ditinggal pas lagi butuh rasanya pengen sendiri dulu,"['rasanya', 'ditinggal', 'pas', 'lagi', 'butuh', 'rasanya', 'pengen', 'sendiri', 'dulu']","['ditinggal', 'pas', 'butuh', 'pengen']",ditinggal pas butuh pengen,4
Sekarang lagi karena ngerjain tugas rutin kayak hari biasa aja,neutral,Sekarang lagi karena ngerjain tugas rutin kayak hari biasa aja,sekarang lagi karena ngerjain tugas rutin kayak hari biasa aja,sekarang lagi karena ngerjain tugas rutin kayak hari biasa saja,"['sekarang', 'lagi', 'karena', 'ngerjain', 'tugas', 'rutin', 'kayak', 'hari', 'biasa', 'saja']","['ngerjain', 'tugas', 'rutin', 'kayak']",ngerjain tugas rutin kayak,3
Barusan internet mati pas meeting,angry,Barusan internet mati pas meeting,barusan internet mati pas meeting,barusan internet mati pas meeting,"['barusan', 'internet', 'mati', 'pas', 'meeting']","['barusan', 'internet', 'mati', 'pas', 'meeting']",barusan internet mati pas meeting,0
Hari ini karena scroll media sosial,neutral,Hari ini karena scroll media sosial,hari ini karena scroll media sosial,hari ini karena scroll media sosial,"['hari', 'ini', 'karena', 'scroll', 'media', 'sosial']","['scroll', 'media', 'sosial']",scroll media sosial,3
Sumpah ya internet mati pas meeting aku jadi susah tenang,angry,Sumpah ya internet mati pas meeting aku jadi susah tenang,sumpah ya internet mati pas meeting aku jadi susah tenang,sumpah iya internet mati pas meeting aku jadi susah tenang,"['sumpah', 'iya', 'internet', 'mati', 'pas', 'meeting', 'aku', 'jadi', 'susah', 'tenang']","['sumpah', 'internet', 'mati', 'pas', 'meeting', 'susah', 'tenang']",sumpah internet mati pas meeting susah tenang,0
"cape nyari kerja, nyari judul ta, masalah di rumah, ditambah diputusin pacar wkwk murung bbrp hari di kostan tp ada my bestie yg selalu bilang gini. alhamdulillah skrg udah dapet kerjaan yg bener bener aku pengen, dan lupa sama kesedihan2 sebelumnya",happy,cape nyari kerja nyari judul ta masalah di rumah ditambah diputusin pacar wkwk murung bbrp hari di kostan tp ada my bestie yg selalu bilang gini alhamdulillah skrg udah dapet kerjaan yg bener bener aku pengen dan lupa sama kesedihan sebelumnya,"cape nyari kerja, nyari judul ta, masalah di rumah, ditambah diputusin pacar wkwk murung bbrp hari di kostan tp ada my bestie yg selalu bilang gini. alhamdulillah skrg udah dapet kerjaan yg bener bener aku pengen, dan lupa sama kesedihan2 sebelumnya","capek mencari kerja, mencari judul ta, masalah di rumah, ditambah diputusin pacar wkwk murung bbrp hari di kostan tapi ada my bestie yang selalu bilang gini. alhamdulillah skrg sudah dapat kerjaan yang benar benar aku pengen, dan lupa sama kesedihan2 sebelumnya","['capek', 'mencari', 'kerja', ',', 'mencari', 'judul', 'ta', ',', 'masalah', 'di', 'rumah', ',', 'ditambah', 'diputusin', 'pacar', 'wkwk', 'murung', 'bbrp', 'hari', 'di', 'kostan', 'tapi', 'ada', 'my', 'bestie', 'yang', 'selalu', 'bilang', 'gini', '.', 'alhamdulillah', 'skrg', 'sudah', 'dapat', 'kerjaan', 'yang', 'benar', 'benar', 'aku', 'pengen', ',', 'dan', 'lupa', 'sama', 'kesedihan2', 'sebelumnya']","['capek', 'mencari', 'kerja', ',', 'mencari', 'judul', 'ta', ',', 'rumah', ',', 'ditambah', 'diputusin', 'pacar', 'wkwk', 'murung', 'bbrp', 'kostan', 'bestie', 'bilang', 'gini', '.', 'alhamdulillah', 'skrg', 'kerjaan', 'pengen', ',', 'lupa', 'kesedihan2']","capek mencari kerja , mencari judul ta , rumah , ditambah diputusin pacar wkwk murung bbrp kostan bestie bilang gini . alhamdulillah skrg kerjaan pengen , lupa kesedihan2",2
Barusan pas ngerjain tugas rutin kayak hari biasa aja,neutral,Barusan pas ngerjain tugas rutin kayak hari biasa aja,barusan pas ngerjain tugas rutin kayak hari biasa aja,barusan pas ngerjain tugas rutin kayak hari biasa saja,"['barusan', 'pas', 'ngerjain', 'tugas', 'rutin', 'kayak', 'hari', 'biasa', 'saja']","['barusan', 'pas', 'ngerjain', 'tugas', 'rutin', 'kayak']",barusan pas ngerjain tugas rutin kayak,3
"Entah kenapa, ga ada yang ngerti kondisi aku rasanya pengen sendiri dulu",sad,Entah kenapa ga ada yang ngerti kondisi aku rasanya pengen sendiri dulu,"entah kenapa, ga ada yang ngerti kondisi aku rasanya pengen sendiri dulu","entah kenapa, ga ada yang mengerti kondisi aku rasanya pengen sendiri dulu","['entah', 'kenapa', ',', 'ga', 'ada', 'yang', 'mengerti', 'kondisi', 'aku', 'rasanya', 'pengen', 'sendiri', 'dulu']","[',', 'mengerti', 'kondisi', 'pengen']",", mengerti kondisi pengen",4
Jengkel parah karena internet mati pas meeting aku jadi susah tenang,angry,Jengkel parah karena internet mati pas meeting aku jadi susah tenang,jengkel parah karena internet mati pas meeting aku jadi susah tenang,jengkel parah karena internet mati pas meeting aku jadi susah tenang,"['jengkel', 'parah', 'karena', 'internet', 'mati', 'pas', 'meeting', 'aku', 'jadi', 'susah', 'tenang']","['jengkel', 'parah', 'internet', 'mati', 'pas', 'meeting', 'susah', 'tenang']",jengkel parah internet mati pas meeting susah tenang,0
Sekarang lagi takut karena kontrak kerja ga diperpanjang,fear,Sekarang lagi takut karena kontrak kerja ga diperpanjang,sekarang lagi takut karena kontrak kerja ga diperpanjang,sekarang lagi takut karena kontrak kerja ga diperpanjang,"['sekarang', 'lagi', 'takut', 'karena', 'kontrak', 'kerja', 'ga', 'diperpanjang']","['takut', 'kontrak', 'kerja', 'diperpanjang']",takut kontrak kerja diperpanjang,1
"Capek banget, kerjaan revisi terus rasanya pengen sendiri dulu",sad,Capek banget kerjaan revisi terus rasanya pengen sendiri dulu,"capek banget, kerjaan revisi terus rasanya pengen sendiri dulu","capek banget, kerjaan revisi terus rasanya pengen sendiri dulu","['capek', 'banget', ',', 'kerjaan', 'revisi', 'terus', 'rasanya', 'pengen', 'sendiri', 'dulu']","['capek', 'banget', ',', 'kerjaan', 'revisi', 'pengen']","capek banget , kerjaan revisi pengen",4
Aku ngerasa pas burnout kuliah rasanya pengen sendiri dulu,sad,Aku ngerasa pas burnout kuliah rasanya pengen sendiri dulu,aku ngerasa pas burnout kuliah rasanya pengen sendiri dulu,aku ngerasa pas burnout kuliah rasanya pengen sendiri dulu,"['aku', 'ngerasa', 'pas', 'burnout', 'kuliah', 'rasanya', 'pengen', 'sendiri', 'dulu']","['ngerasa', 'pas', 'burnout', 'kuliah', 'pengen']",ngerasa pas burnout kuliah pengen,4
Jujur karena burnout kuliah dan itu bikin down,sad,Jujur karena burnout kuliah dan itu bikin down,jujur karena burnout kuliah dan itu bikin down,jujur karena burnout kuliah dan itu bikin down,"['jujur', 'karena', 'burnout', 'kuliah', 'dan', 'itu', 'bikin', 'down']","['jujur', 'burnout', 'kuliah', 'bikin']",jujur burnout kuliah bikin,4
Ga ada hal spesial pas baca artikel teknologi kayak hari biasa aja,neutral,Ga ada hal spesial pas baca artikel teknologi kayak hari biasa aja,ga ada hal spesial pas baca artikel teknologi kayak hari biasa aja,ga ada hal spesial pas baca artikel teknologi kayak hari biasa saja,"['ga', 'ada', 'hal', 'spesial', 'pas', 'baca', 'artikel', 'teknologi', 'kayak', 'hari', 'biasa', 'saja']","['spesial', 'pas', 'baca', 'artikel', 'teknologi', 'kayak']",spesial pas baca artikel teknologi kayak,3
"Aku cuma, jalan sore lalu lanjut aktivitas lagi",neutral,Aku cuma jalan sore lalu lanjut aktivitas lagi,"aku cuma, jalan sore lalu lanjut aktivitas lagi","aku cuma, jalan sore lalu lanjut aktivitas lagi","['aku', 'cuma', ',', 'jalan', 'sore', 'lalu', 'lanjut', 'aktivitas', 'lagi']","[',', 'jalan', 'sore', 'aktivitas']",", jalan sore aktivitas",3
aku hanya manusia biasa yang tak sempurna adn kadang salah..,neutral,aku hanya manusia biasa yang tak sempurna adn kadang salah,aku hanya manusia biasa yang tak sempurna adn kadang salah..,aku hanya manusia biasa yang tidak sempurna adn kadang salah..,"['aku', 'hanya', 'manusia', 'biasa', 'yang', 'tidak', 'sempurna', 'adn', 'kadang', 'salah', '..']","['manusia', 'sempurna', 'adn', 'kadang', 'salah', '..']",manusia sempurna adn kadang salah ..,3
Untung aja presentasi lancar jadi semangat lagi,happy,Untung aja presentasi lancar jadi semangat lagi,untung aja presentasi lancar jadi semangat lagi,untung saja presentasi lancar jadi semangat lagi,"['untung', 'saja', 'presentasi', 'lancar', 'jadi', 'semangat', 'lagi']","['untung', 'presentasi', 'lancar', 'semangat']",untung presentasi lancar semangat,2
aowkaowkaowkoakw semangat ayy,happy,aowkaowkaowkoakw semangat ayy,aowkaowkaowkoakw semangat ayy,aowkaowkaowkoakw semangat ayy,"['aowkaowkaowkoakw', 'semangat', 'ayy']","['aowkaowkaowkoakw', 'semangat', 'ayy']",aowkaowkaowkoakw semangat ayy,2
Aku puas karena pas tim akhirnya kompak dan hariku jadi lebih enak,happy,Aku puas karena pas tim akhirnya kompak dan hariku jadi lebih enak,aku puas karena pas tim akhirnya kompak dan hariku jadi lebih enak,aku puas karena pas tim akhirnya kompak dan hariku jadi lebih enak,"['aku', 'puas', 'karena', 'pas', 'tim', 'akhirnya', 'kompak', 'dan', 'hariku', 'jadi', 'lebih', 'enak']","['puas', 'pas', 'tim', 'kompak', 'hariku', 'enak']",puas pas tim kompak hariku enak,2
"pagi pagi udah emosi baca au kesel, gak blh ada yg bikin bian kecewa atau sedih ih",angry,pagi pagi udah emosi baca au kesel gak blh ada yg bikin bian kecewa atau sedih ih,"pagi pagi udah emosi baca au kesel, gak blh ada yg bikin bian kecewa atau sedih ih","pagi pagi sudah emosi baca au kesel, gak boleh ada yang bikin bian kecewa atau sedih ih","['pagi', 'pagi', 'sudah', 'emosi', 'baca', 'au', 'kesel', ',', 'gak', 'boleh', 'ada', 'yang', 'bikin', 'bian', 'kecewa', 'atau', 'sedih', 'ih']","['pagi', 'pagi', 'emosi', 'baca', 'au', 'kesel', ',', 'bikin', 'bian', 'kecewa', 'sedih', 'ih']","pagi pagi emosi baca au kesel , bikin bian kecewa sedih ih",0
Entah kenapa karena hubungan jadi awkward susah fokus sejak tadi,sad,Entah kenapa karena hubungan jadi awkward susah fokus sejak tadi,entah kenapa karena hubungan jadi awkward susah fokus sejak tadi,entah kenapa karena hubungan jadi awkward susah fokus sejak tadi,"['entah', 'kenapa', 'karena', 'hubungan', 'jadi', 'awkward', 'susah', 'fokus', 'sejak', 'tadi']","['hubungan', 'awkward', 'susah', 'fokus']",hubungan awkward susah fokus,4
Aku lagi karena ngerjain tugas rutin kayak hari biasa aja,neutral,Aku lagi karena ngerjain tugas rutin kayak hari biasa aja,aku lagi karena ngerjain tugas rutin kayak hari biasa aja,aku lagi karena ngerjain tugas rutin kayak hari biasa saja,"['aku', 'lagi', 'karena', 'ngerjain', 'tugas', 'rutin', 'kayak', 'hari', 'biasa', 'saja']","['ngerjain', 'tugas', 'rutin', 'kayak']",ngerjain tugas rutin kayak,3
Weekend ini pas ngerjain tugas rutin,neutral,Weekend ini pas ngerjain tugas rutin,weekend ini pas ngerjain tugas rutin,weekend ini pas ngerjain tugas rutin,"['weekend', 'ini', 'pas', 'ngerjain', 'tugas', 'rutin']","['weekend', 'pas', 'ngerjain', 'tugas', 'rutin']",weekend pas ngerjain tugas rutin,3
Aku takut kalau pas takut mengecewakan tim,fear,Aku takut kalau pas takut mengecewakan tim,aku takut kalau pas takut mengecewakan tim,aku takut kalau pas takut mengecewakan tim,"['aku', 'takut', 'kalau', 'pas', 'takut', 'mengecewakan', 'tim']","['takut', 'pas', 'takut', 'mengecewakan', 'tim']",takut pas takut mengecewakan tim,1
"yang terbaik adalah percaya dan berlindung hanya pada tuhan, bukan pada manusia. karena akan ada kecewa jika terlalu percaya pada manusia.",neutral,yang terbaik adalah percaya dan berlindung hanya pada tuhan bukan pada manusia karena akan ada kecewa jika terlalu percaya pada manusia,"yang terbaik adalah percaya dan berlindung hanya pada tuhan, bukan pada manusia. karena akan ada kecewa jika terlalu percaya pada manusia.","yang terbaik adalah percaya dan berlindung hanya pada tuhan, bukan pada manusia. karena akan ada kecewa jika terlalu percaya pada manusia.","['yang', 'terbaik', 'adalah', 'percaya', 'dan', 'berlindung', 'hanya', 'pada', 'tuhan', ',', 'bukan', 'pada', 'manusia', '.', 'karena', 'akan', 'ada', 'kecewa', 'jika', 'terlalu', 'percaya', 'pada', 'manusia', '.']","['terbaik', 'percaya', 'berlindung', 'tuhan', ',', 'manusia', '.', 'kecewa', 'percaya', 'manusia', '.']","terbaik percaya berlindung tuhan , manusia . kecewa percaya manusia .",3
Aku takut kalau sidang skripsi gagal,fear,Aku takut kalau sidang skripsi gagal,aku takut kalau sidang skripsi gagal,aku takut kalau sidang skripsi gagal,"['aku', 'takut', 'kalau', 'sidang', 'skripsi', 'gagal']","['takut', 'sidang', 'skripsi', 'gagal']",takut sidang skripsi gagal,1
Barusan karena nilai revisi naik dan hariku jadi lebih enak,happy,Barusan karena nilai revisi naik dan hariku jadi lebih enak,barusan karena nilai revisi naik dan hariku jadi lebih enak,barusan karena nilai revisi naik dan hariku jadi lebih enak,"['barusan', 'karena', 'nilai', 'revisi', 'naik', 'dan', 'hariku', 'jadi', 'lebih', 'enak']","['barusan', 'nilai', 'revisi', 'hariku', 'enak']",barusan nilai revisi hariku enak,2
agak ngeri ya,fear,agak ngeri ya,agak ngeri ya,agak ngeri iya,"['agak', 'ngeri', 'iya']",['ngeri'],ngeri,1
